date,Lagged_Return_1d,High_Low_Range,Range_Change,Volatility_5d,Volatility_20d,Volume,Volume_Change,Volume_MA5,Volume_MA20,Low,High
8/5/2022,0.002626426,0.09400993,-0.056406143,0.038988272,0.03703977,139700,-0.541365726,255580,169615,14.28945473,14.38346466
8/8/2022,0.00196458,0.094009936,6.05E-09,0.034155171,0.037761091,462900,2.313528991,247500,187970,14.37406442,14.46807435
8/9/2022,0.005882428,0.084608763,-0.009401174,0.038532271,0.038952542,118600,-0.743789155,241820,188270,14.43987071,14.52447948
8/10/2022,0.003898592,0.094009041,0.009400278,0.026590215,0.038973452,137300,0.15767285,232620,184640,14.5056783,14.59968734
8/11/2022,0.005178007,0.141014905,0.047005864,0.022444674,0.037884101,249600,0.81791697,221620,186885,14.44927204,14.59028694
8/12/2022,-0.000643877,0.159816348,0.018801443,0.033502372,0.03788414,78000,-0.6875,209280,181825,14.59968663,14.75950298
8/15/2022,0.011597855,0.084608769,-0.075207579,0.035175306,0.038323595,115200,0.476923077,139740,171775,14.73130184,14.81591061
8/16/2022,0.003821784,0.09400994,0.009401171,0.03350237,0.038323595,84100,-0.269965278,132840,172040,14.68429649,14.77830643
8/17/2022,-0.002538095,0.112811381,0.018801441,0.031601777,0.037280775,131800,0.567181926,131740,169750,14.7407015,14.85351288
8/18/2022,0.005088977,0.094009936,-0.018801445,0.030170974,0.03786263,293600,1.227617602,140540,180705,14.64669216,14.74070209
8/19/2022,-0.00759489,0.141014898,0.047004962,0.022444556,0.038006722,151100,-0.485354223,155160,181510,14.44927133,14.59028622
8/22/2022,-0.010204118,0.056406144,-0.084608754,0.030894694,0.040070968,76400,-0.494374586,147400,180425,14.33646145,14.3928676
8/23/2022,-0.013530826,0.150416083,0.094009939,0.037838244,0.040475232,222800,1.916230366,175140,184895,14.4398714,14.59028748
8/24/2022,0.013716508,0.112811389,-0.037604694,0.037838244,0.03564796,73700,-0.669210054,163520,185745,14.58088615,14.69369754
8/25/2022,0.007087596,0.150415171,0.037603782,0.039884898,0.034521079,389700,4.287652646,182740,198485,14.70309729,14.85351247
